LHAPDF 6.5.3 loading /usr/share/lhapdf/LHAPDF/NNPDF40_nnlo_as_01180/NNPDF40_nnlo_as_01180_0000.dat
NNPDF40_nnlo_as_01180 PDF set, member #0, version 1; LHAPDF ID = 331100
    O1 left  O1 right  O2 left  O2 right       PineAPPL        FkTable  permille_error
36      0.5       1.0     1.94      2.12       6.235691       6.235266       -0.068067
37      0.5       1.0     2.12      2.33       2.748465       2.748343       -0.044584
38      0.5       1.0     2.33      2.55       1.134954       1.134889       -0.056975
39      0.5       1.0     2.55      2.78       0.457695       0.457648       -0.104232
40      0.5       1.0     2.78      3.04       0.172815       0.172789       -0.150381
41      0.5       1.0     3.04      4.27       0.019237       0.019234       -0.144420
42      1.0       1.5     0.51      0.59  154186.944753  154158.033255       -0.187509
43      1.0       1.5     0.59      0.67   69097.751944   69088.484772       -0.134117
44      1.0       1.5     0.67      0.76   32161.233702   32158.602287       -0.081819
45      1.0       1.5     0.76      0.85   15348.676171   15347.685044       -0.064574
46      1.0       1.5     0.85      0.95    7504.692643    7504.000825       -0.092185
47      1.0       1.5     0.95      1.06    3642.782282    3642.344154       -0.120273
48      1.0       1.5     1.06      1.18    1745.297858    1745.142960       -0.088752
49      1.0       1.5     1.18      1.31     837.488458     837.405864       -0.098622
50      1.0       1.5     1.31      1.45     397.809160     397.766138       -0.108148
51      1.0       1.5     1.45      1.60     189.167215     189.152517       -0.077701
52      1.0       1.5     1.60      1.76      89.447547      89.441611       -0.066367
53      1.0       1.5     1.76      1.94      40.984059      40.981174       -0.070378
54      1.0       1.5     1.94      2.12      18.604219      18.602961       -0.067600
55      1.0       1.5     2.12      2.33       8.191773       8.191410       -0.044384
56      1.0       1.5     2.33      2.55       3.386691       3.386496       -0.057435
57      1.0       1.5     2.55      2.78       1.363778       1.363635       -0.105049
58      1.0       1.5     2.78      3.04       0.513311       0.513234       -0.150600
59      1.0       1.5     3.04      3.31       0.176735       0.176708       -0.152491
60      1.0       1.5     3.31      4.64       0.017115       0.017113       -0.122135
61      1.5       2.0     0.76      0.85   40740.626904   40737.557948       -0.075329
62      1.5       2.0     0.85      0.95   20435.060858   20433.722134       -0.065511
63      1.5       2.0     0.95      1.06   10144.591706   10143.497998       -0.107812
64      1.5       2.0     1.06      1.18    4990.055300    4989.667275       -0.077760
65      1.5       2.0     1.18      1.31    2423.460446    2423.229749       -0.095193
66      1.5       2.0     1.31      1.45    1171.577040    1171.468528       -0.092620
67      1.5       2.0     1.45      1.60     558.760399     558.709455       -0.091174
68      1.5       2.0     1.60      1.76     265.489952     265.472193       -0.066890
69      1.5       2.0     1.76      1.94     122.473047     122.464384       -0.070734
70      1.5       2.0     1.94      2.12      55.592947      55.589192       -0.067550
71      1.5       2.0     2.12      2.33      24.458064      24.456975       -0.044510
72      1.5       2.0     2.33      2.55      10.113345      10.112753       -0.058555
73      1.5       2.0     2.55      2.78       4.071781       4.071342       -0.107817
74      1.5       2.0     2.78      3.04       1.529314       1.529080       -0.153244
75      1.5       2.0     3.04      3.31       0.523869       0.523789       -0.153678
76      1.5       2.0     3.31      3.61       0.163068       0.163047       -0.130558
77      1.5       2.0     3.61      4.64       0.017594       0.017592       -0.096751
78      2.0       2.5     1.31      1.45    2751.364451    2751.074468       -0.105396
79      2.0       2.5     1.45      1.60    1383.184906    1383.092057       -0.067127
80      2.0       2.5     1.60      1.76     672.679565     672.631781       -0.071035
81      2.0       2.5     1.76      2.12     237.522891     237.507200       -0.066063
82      2.0       2.5     2.12      2.55      48.210158      48.207816       -0.048565
83      2.0       2.5     2.55      3.04       7.902274       7.901278       -0.126069
84      2.0       2.5     3.04      3.61       0.985288       0.985141       -0.149224
85      2.0       2.5     3.61      5.04       0.037497       0.037493       -0.094789
86      2.5       3.0     2.12      2.55      60.543049      60.540017       -0.050089
87      2.5       3.0     2.55      3.04      11.037535      11.035647       -0.171021
88      2.5       3.0     3.04      3.93       1.082250       1.082041       -0.193297
89      2.5       3.0     3.93      5.04       0.021194       0.021193       -0.069913
Thanks for using LHAPDF 6.5.3. Please make sure to cite the paper:
  Eur.Phys.J. C75 (2015) 3, 132  (http://arxiv.org/abs/1412.7420)
